Dist	TrNo	Zone	X,m	Y,m	Alt, m	TD, ns	Hice, m	Bed,m
24170,276	5813	33X	512390,0843	8561661,149	451,5698	490	41,16	410,4098
24173,366	5814	33X	512388,7538	8561658,366	450,2523	495	41,58	408,6723
24176,669	5815	33X	512387,492	8561655,318	448,9263	495	41,58	407,3463
24180,294	5816	33X	512386,2418	8561651,92	447,6025	500	42	405,6025
24184,166	5817	33X	512385,0354	8561648,245	446,2747	510	42,84	403,4347
24188,161	5818	33X	512383,9273	8561644,41	444,9329	520	43,68	401,2529
24192,159	5819	33X	512382,9722	8561640,53	442,8167	530	44,52	398,2967
24196,067	5820	33X	512382,2121	8561636,698	441,4188	540	45,36	396,0588
24199,894	5821	33X	512381,6396	8561632,915	439,9922	550	46,2	393,7922
24203,669	5822	33X	512381,2348	8561629,162	438,5432	560	47,04	391,5032
24207,422	5823	33X	512380,9778	8561625,418	437,8277	575	48,3	389,5277
24211,179	5824	33X	512380,8541	8561621,663	437,8513	590	49,56	388,2913
24214,963	5825	33X	512380,8711	8561617,879	437,118	605	50,82	386,298
24218,797	5826	33X	512381,0417	8561614,049	436,3816	615	51,66	384,7216
24222,705	5827	33X	512381,3788	8561610,155	435,6457	630	52,92	382,7257
24226,689	5828	33X	512381,8847	8561606,203	435,6633	645	54,18	381,4833
24230,653	5829	33X	512382,5201	8561602,291	434,9344	660	55,44	379,4944
24234,472	5830	33X	512383,2353	8561598,54	434,2084	670	56,28	377,9284
24238,022	5831	33X	512383,9804	8561595,069	433,4847	685	57,54	375,9447
24241,223	5832	33X	512384,7189	8561591,954	433,5131	700	58,8	374,7131
24244,183	5833	33X	512385,4672	8561589,091	433,5453	710	59,64	373,9053
24247,057	5834	33X	512386,2549	8561586,327	433,5832	730	61,32	372,2632
24249,999	5835	33X	512387,1116	8561583,512	433,6291	745	62,58	371,0491
24253,163	5836	33X	512388,0668	8561580,497	432,9348	760	63,84	369,0948
24256,656	5837	33X	512389,1386	8561577,173	433,0012	775	65,1	367,9012
24260,399	5838	33X	512390,2989	8561573,616	433,0734	795	66,78	366,2934
24264,266	5839	33X	512391,5079	8561569,942	433,145	810	68,04	365,105
24268,135	5840	33X	512392,7259	8561566,271	433,2099	825	69,3	363,9099
24271,911	5841	33X	512393,9209	8561562,689	433,2608	840	70,56	362,7008
24275,635	5842	33X	512395,0911	8561559,154	433,2871	855	71,82	361,4671
24279,379	5843	33X	512396,2425	8561555,592	433,2772	875	73,5	359,7772
24283,214	5844	33X	512397,3812	8561551,93	433,2195	890	74,76	358,4595
24287,18	5845	33X	512398,507	8561548,129	433,1069	905	76,02	357,0869
24291,177	5846	33X	512399,5955	8561544,286	432,9501	920	77,28	355,6701
24295,07	5847	33X	512400,6164	8561540,534	432,7642	940	78,96	353,8042
24298,721	5848	33X	512401,5392	8561537,007	432,5644	945	79,38	353,1844
24302,045	5849	33X	512402,3451	8561533,789	432,3631	955	80,22	352,1431
24305,156	5850	33X	512403,0609	8561530,768	431,4118	960	80,64	350,7718
24308,216	5851	33X	512403,725	8561527,787	431,9593	970	81,48	350,4793
24311,391	5852	33X	512404,3759	8561524,687	431,0042	980	82,32	348,6842
24314,842	5853	33X	512405,0518	8561521,309	431,5452	985	82,74	348,8052
24318,684	5854	33X	512405,7812	8561517,543	431,3317	995	83,58	347,7517
24322,831	5855	33X	512406,5527	8561513,474	431,1144	1005	84,42	346,6944
24327,148	5856	33X	512407,345	8561509,236	430,8949	1010	84,84	346,0549
24331,5	5857	33X	512408,1365	8561504,962	429,9243	1020	85,68	344,2443
24335,779	5858	33X	512408,9114	8561500,76	429,706	1030	86,52	343,186
24339,981	5859	33X	512409,6753	8561496,633	429,5001	1035	86,94	342,5601
24344,128	5860	33X	512410,4393	8561492,561	429,3184	1045	87,78	341,5384
24348,243	5861	33X	512411,2144	8561488,522	429,9229	1050	88,2	341,7229
24352,35	5862	33X	512412,012	8561484,494	429,8217	1060	89,04	340,7817
24356,474	5863	33X	512412,8447	8561480,456	429,7567	1070	89,88	339,8767
24360,638	5864	33X	512413,7255	8561476,387	429,7163	1075	90,3	339,4163
24364,866	5865	33X	512414,6673	8561472,265	429,6887	1085	91,14	338,5487
24369,159	5866	33X	512415,6744	8561468,092	430,4127	1080	90,72	339,6927
24373,414	5867	33X	512416,7167	8561463,966	430,3807	1080	90,72	339,6607
24377,507	5868	33X	512417,755	8561460,007	430,3355	1075	90,3	340,0355
24381,312	5869	33X	512418,7507	8561456,336	430,2702	1075	90,3	339,9702
24384,75	5870	33X	512419,6778	8561453,026	430,1797	1070	89,88	340,2997
24387,941	5871	33X	512420,5631	8561449,962	430,068	1065	89,46	340,608
24391,052	5872	33X	512421,4462	8561446,982	430,6907	1065	89,46	341,2307
24394,249	5873	33X	512422,3669	8561443,924	430,5537	1065	89,46	341,0937
24397,698	5874	33X	512423,3649	8561440,625	430,413	1060	89,04	341,373
24401,516	5875	33X	512424,4657	8561436,973	430,2731	1060	89,04	341,2331
24405,615	5876	33X	512425,6377	8561433,047	430,1328	1055	88,62	341,5128
24409,858	5877	33X	512426,8347	8561428,979	430,7398	1055	88,62	342,1198
24414,108	5878	33X	512428,0108	8561424,898	430,5917	1050	88,2	342,3917
24418,262	5879	33X	512429,1298	8561420,9	430,4371	1050	88,2	342,2371
24422,358	5880	33X	512430,1942	8561416,948	430,2788	1045	87,78	342,4988
24426,467	5881	33X	512431,2165	8561412,972	430,1206	1045	87,78	342,3406
24430,661	5882	33X	512432,2091	8561408,899	429,9662	1040	87,36	342,6062
24434,977	5883	33X	512433,1781	8561404,696	430,5685	1040	87,36	343,2085
24439,309	5884	33X	512434,1048	8561400,467	430,4266	1045	87,78	342,6466
24443,512	5885	33X	512434,9641	8561396,354	430,2888	1045	87,78	342,5088
24447,446	5886	33X	512435,7312	8561392,499	430,1533	1050	88,2	341,9533
24451,018	5887	33X	512436,3906	8561388,991	430,0179	1055	88,62	341,3979
24454,349	5888	33X	512436,9648	8561385,712	429,8794	1060	89,04	340,8394
24457,612	5889	33X	512437,486	8561382,494	430,4841	1065	89,46	341,0241
24460,979	5890	33X	512437,9863	8561379,168	430,3286	1070	89,88	340,4486
24464,622	5891	33X	512438,4979	8561375,566	430,1593	1070	89,88	340,2793
24468,662	5892	33X	512439,0453	8561371,567	429,9746	1075	90,3	339,6746
24473,015	5893	33X	512439,623	8561367,257	429,7814	1080	90,72	339,0614
24477,547	5894	33X	512440,218	8561362,768	429,5885	1085	91,14	338,4485
24482,123	5895	33X	512440,8173	8561358,235	429,4049	1085	91,14	338,2649
24486,634	5896	33X	512441,4115	8561353,766	429,2382	1085	91,14	338,0982
24491,076	5897	33X	512442,0055	8561349,367	429,0904	1090	91,56	337,5304
24495,47	5898	33X	512442,6077	8561345,016	429,7126	1090	91,56	338,1526
24499,838	5899	33X	512443,2267	8561340,694	429,6056	1090	91,56	338,0456
24504,201	5900	33X	512443,8708	8561336,38	429,5187	1090	91,56	337,9587
24508,584	5901	33X	512444,5483	8561332,05	429,4446	1090	91,56	337,8846
24513,014	5902	33X	512445,2673	8561327,68	429,3744	1095	91,98	337,3944
24517,514	5903	33X	512446,0359	8561323,246	429,2994	1095	91,98	337,3194
24522,084	5904	33X	512446,8561	8561318,751	429,2126	1105	92,82	336,3926
24526,617	5905	33X	512447,7047	8561314,299	429,1149	1115	93,66	335,4549
24530,978	5906	33X	512448,5523	8561310,023	429,0091	1125	94,5	334,5091
24535,033	5907	33X	512449,3695	8561306,052	428,898	1140	95,76	333,138
24538,701	5908	33X	512450,1379	8561302,467	428,7839	1150	96,6	332,1839
24542,112	5909	33X	512450,8826	8561299,141	428,6661	1160	97,44	331,2261
24545,448	5910	33X	512451,6397	8561295,894	428,5436	1175	98,7	329,8436
24548,893	5911	33X	512452,4452	8561292,547	428,415	1185	99,54	328,875
24552,628	5912	33X	512453,3353	8561288,922	428,2793	1200	100,8	327,4793
24556,783	5913	33X	512454,3332	8561284,892	428,1354	1215	102,06	326,0754
24561,266	5914	33X	512455,4109	8561280,543	427,983	1225	102,9	325,083
24565,933	5915	33X	512456,5275	8561276,014	427,8218	1240	104,16	323,6618
24570,64	5916	33X	512457,6422	8561271,444	426,9018	1255	105,42	321,4818
24575,279	5917	33X	512458,7222	8561266,936	426,722	1265	106,26	320,462
