Dist	TrNo	Zone	X,m	Y,m	Alt, m	TD, ns	Hice, m	Bed,m
13170,955	2127	33X	517864,8264	8552286,964	213,6613	35	2,94	210,7213
13177,494	2128	33X	517860,9689	8552281,784	213,3855	45	3,78	209,6055
13184,219	2129	33X	517857,0014	8552276,457	213,0889	60	5,04	208,0489
13191,481	2130	33X	517852,7194	8552270,7	212,7136	70	5,88	206,8336
13199,53	2131	33X	517847,9789	8552264,315	212,2205	85	7,14	205,0805
13208,2	2132	33X	517842,8779	8552257,431	211,645	100	8,4	203,245
13217,22	2133	33X	517837,5745	8552250,261	211,0416	110	9,24	201,8016
13226,322	2134	33X	517832,2271	8552243,016	209,7145	125	10,5	199,2145
13235,286	2135	33X	517826,9629	8552235,87	209,2064	135	11,34	197,8664
13244,105	2136	33X	517821,7843	8552228,831	208,0139	150	12,6	195,4139
13252,822	2137	33X	517816,6627	8552221,871	206,1221	160	13,44	192,6821
13261,478	2138	33X	517811,5696	8552214,96	204,2663	175	14,7	189,5663
13270,119	2139	33X	517806,4746	8552208,065	202,4348	190	15,96	186,4748
13278,799	2140	33X	517801,3411	8552201,145	200,6301	200	16,8	183,8301
13287,575	2141	33X	517796,1307	8552194,158	198,858	215	18,06	180,798
13296,502	2142	33X	517790,8053	8552187,061	197,1243	225	18,9	178,2243
13305,583	2143	33X	517785,3612	8552179,854	195,436	240	20,16	175,276
13314,599	2144	33X	517779,934	8552172,709	193,8053	255	21,42	172,3853
13323,275	2145	33X	517774,6937	8552165,84	192,2454	265	22,26	169,9854
13331,339	2146	33X	517769,8106	8552159,464	190,7698	280	23,52	167,2498
13338,621	2147	33X	517765,39	8552153,713	188,6348	295	24,78	163,8548
13345,369	2148	33X	517761,278	8552148,393	187,3178	305	25,62	161,6978
13351,937	2149	33X	517757,2559	8552143,227	186,0394	320	26,88	159,1594
13358,679	2150	33X	517753,1051	8552137,939	184,0201	330	27,72	156,3001
13365,949	2151	33X	517748,6069	8552132,254	182,7302	345	28,98	153,7502
13373,993	2152	33X	517743,6099	8552125,977	181,3989	360	30,24	151,1589
13382,628	2153	33X	517738,2321	8552119,249	179,2896	370	31,08	148,2096
